DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
2021-11-01 00:00:00,4.0,15956.0,118.0,6.8,95.0,742.0,4.3,13620.0,13399.0
2021-11-01 00:15:00,3.7,15634.0,117.0,6.8,95.0,742.0,4.7,16689.0,17363.0
2021-11-01 00:30:00,3.5,15347.0,117.0,6.8,95.0,742.0,4.0,10999.0,9770.0
2021-11-01 00:45:00,3.3,15060.0,117.0,6.7,96.0,741.0,3.5,7216.0,5695.0
2021-11-01 01:00:00,3.0,14773.0,117.0,6.7,96.0,741.0,3.7,8973.0,9324.0
2021-11-01 01:15:00,2.9,14603.0,117.0,6.7,96.0,741.0,4.0,12071.0,11222.0
2021-11-01 01:30:00,2.9,14551.0,117.0,6.7,96.0,741.0,4.1,12447.0,11836.0
2021-11-01 01:45:00,3.0,14500.0,118.0,6.6,97.0,741.0,4.0,11462.0,10775.0
2021-11-01 02:00:00,3.0,14448.0,118.0,6.6,97.0,741.0,3.7,8862.0,9212.0
2021-11-01 02:15:00,2.8,14299.0,117.0,6.6,97.0,741.0,3.9,10010.0,8877.0
2021-11-01 02:30:00,2.6,14052.0,115.0,6.6,97.0,741.0,3.7,8344.0,7537.0
2021-11-01 02:45:00,2.5,13805.0,111.0,6.6,97.0,741.0,3.6,8278.0,7649.0
2021-11-01 03:00:00,2.3,13558.0,108.0,6.6,97.0,741.0,3.2,5664.0,5360.0
2021-11-01 03:15:00,2.2,13428.0,106.0,6.6,97.0,741.0,3.1,5653.0,5025.0
2021-11-01 03:30:00,2.2,13416.0,103.0,6.6,97.0,741.0,3.3,5896.0,5806.0
2021-11-01 03:45:00,2.3,13404.0,103.0,6.6,97.0,740.0,4.89771620670087,5602.0,11857.997901591807
2021-11-01 04:00:00,2.2,13392.0,100.0,6.6,97.0,740.0,4.451169103817008,5082.0,11343.33941901102
2021-11-01 04:15:00,2.2,13362.0,100.0,6.6,97.0,740.0,3.3,5630.0,5695.0
2021-11-01 04:30:00,2.2,13313.0,98.0,6.6,97.0,740.0,3.6,8623.0,9770.0
2021-11-01 04:45:00,2.2,13264.0,98.0,6.6,97.0,740.0,3.8,9415.0,7984.0
2021-11-01 05:00:00,2.2,13215.0,95.0,6.6,97.0,740.0,3.5,7598.0,7146.0
2021-11-01 05:15:00,2.2,13249.0,95.0,6.6,97.0,740.0,3.2,7186.0,4372.807064630315
2021-11-01 05:30:00,2.2,13366.0,98.0,6.6,97.0,740.0,4.130651156219942,8230.0,8430.0
2021-11-01 05:45:00,2.2,13483.0,100.0,6.6,97.0,740.0,3.722525983757422,8061.0,7035.0
2021-11-01 06:00:00,2.3,13600.0,103.0,6.6,97.0,740.0,3.8576723040916763,7572.0,7258.0
2021-11-01 06:15:00,2.3,13756.0,105.0,6.6,97.0,740.0,3.4,7245.0,5360.0
2021-11-01 06:30:00,2.3,13950.0,108.0,6.6,97.0,740.0,3.1,5730.0,5583.0
2021-11-01 06:45:00,2.4,14144.0,112.0,6.6,97.0,741.0,3.5,7705.0,8654.0
2021-11-01 07:00:00,2.4,14338.0,114.0,6.6,97.0,741.0,3.7,9109.0,9212.0
