DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
2022-01-02 00:00:00,10.2,24428.0,4.0,-2.4,31.0,1030.0,10.988282241389054,,37182.0
2022-01-02 00:15:00,10.0,23903.0,5.0,-2.6,31.0,1030.0,10.956510032262935,,37159.0
2022-01-02 00:30:00,9.9,23228.0,6.0,-2.7,31.0,1030.0,10.981375239405114,,37177.0
2022-01-02 00:45:00,9.6,22549.0,8.0,-2.8,31.0,1030.0,9.597145061608858,,36261.0
2022-01-02 01:00:00,9.4,21833.0,10.0,-2.9,31.0,1030.0,10.96617983504045,,37166.0
2022-01-02 01:15:00,9.3,21023.0,11.0,-3.1,31.0,1030.0,10.803174588219491,,37048.0
2022-01-02 01:30:00,9.1,20119.0,12.0,-3.2,31.0,1030.0,8.599705350643232,,33820.0
2022-01-02 01:45:00,8.8,19214.0,13.0,-3.4,32.0,1030.0,7.308130157182122,,27360.0
2022-01-02 02:00:00,8.7,18310.0,14.0,-3.5,32.0,1030.0,7.338799999999999,,28226.0
2022-01-02 02:15:00,8.5,17424.0,14.0,-3.7,32.0,1030.0,7.130037634627623,,26348.0
2022-01-02 02:30:00,8.2,16556.0,16.0,-3.9,33.0,1030.0,7.195714285714286,,26500.0
2022-01-02 02:45:00,8.0,15687.0,17.0,-4.0,33.0,1030.0,6.012940414062629,,15774.0
2022-01-02 03:00:00,7.8,14819.0,18.0,-4.2,34.0,1030.0,3.598242348295889,,3526.0
2022-01-02 03:15:00,7.5,14023.0,19.0,-4.4,34.0,1030.0,3.6301091131144267,,3652.0
2022-01-02 03:30:00,7.2,13242.0,19.0,-4.6,35.0,1030.0,4.432958750387358,,7056.0
2022-01-02 03:45:00,7.0,12421.0,21.0,-4.7,36.0,1030.0,4.53565805054912,,7378.0
2022-01-02 04:00:00,6.7,11601.0,22.0,-4.9,37.0,1030.0,4.730881400059535,,8375.0
2022-01-02 04:15:00,6.4,10870.0,23.0,-5.1,37.0,1030.0,3.996042886783961,,4817.0
2022-01-02 04:30:00,6.1,10229.0,24.0,-5.3,38.0,1030.0,5.114384382888438,,10552.0
2022-01-02 04:45:00,5.9,9588.0,26.0,-5.4,39.0,1030.0,5.047347506765054,,10289.0
2022-01-02 05:00:00,5.6,8947.0,27.0,-5.6,40.0,1030.0,5.443025803501221,,13040.0
2022-01-02 05:15:00,5.4,8275.0,29.0,-5.8,40.0,1030.0,5.630574312630881,,14249.0
2022-01-02 05:30:00,5.2,7574.0,32.0,-6.0,41.0,1030.0,5.798009573225627,,15191.0
2022-01-02 05:45:00,4.9,6872.0,35.0,-6.1,42.0,1031.0,5.090934220898509,,10460.0
2022-01-02 06:00:00,4.7,6171.0,38.0,-6.3,43.0,1031.0,4.4616903421323055,,6973.0
2022-01-02 06:15:00,4.4,5511.512391,41.0,-6.5,44.0,1031.0,4.0834398071168545,,5242.0
2022-01-02 06:30:00,4.2,5487.252112,44.0,-6.6,45.0,1031.0,3.7943081554346723,,4072.0
2022-01-02 06:45:00,4.0,5415.929163,48.0,-6.8,46.0,1031.0,3.2982236978602857,,2577.0
2022-01-02 07:00:00,3.8,5388.217436,51.0,-6.9,47.0,1031.0,3.839258444567534,,4238.0
2022-01-02 07:15:00,3.7,5392.46353,55.0,-6.9,47.0,1031.0,3.9091209421354756,,4496.0
2022-01-02 07:30:00,3.6,5434.881713,56.0,-6.7,47.0,1031.0,4.114792202703024,,5362.0
2022-01-02 07:45:00,3.4,5391.011043,58.0,-6.4,47.0,1032.0,4.1179274422616405,,5374.0
2022-01-02 08:00:00,3.4,5460.638786,60.0,-6.2,47.0,1032.0,3.879334605963097,,4386.0
2022-01-02 08:15:00,3.3,5416.438717,61.0,-5.7,46.0,1032.0,3.2913674924123075,,2551.0
2022-01-02 08:30:00,3.2,5440.856641,60.0,-5.0,45.0,1032.0,3.334614326776479,,2715.0
2022-01-02 08:45:00,3.2,5478.825173,62.0,-4.3,43.0,1032.0,3.649836158002093,,3730.0
2022-01-02 09:00:00,3.1,5442.615615,61.0,-3.6,42.0,1032.0,3.250757660143512,,2397.0
2022-01-02 09:15:00,3.0,5429.957713,62.0,-3.0,40.0,1032.0,2.645576122646527,,894.0
2022-01-02 09:30:00,2.7,5455.006881,63.0,-2.3,39.0,1032.0,2.2733115987204853,,86.0
2022-01-02 09:45:00,2.5,5403.951847,69.0,-1.7,37.0,1032.0,2.376974368378108,,311.0
2022-01-02 10:00:00,2.2,5471.632619,72.0,-1.0,36.0,1032.0,2.8913541359438955,,1474.0
2022-01-02 10:15:00,2.1,5421.857697,76.0,-0.5,34.0,1032.0,3.1811408048255774,,2133.0
2022-01-02 10:30:00,2.0,5386.963316,84.0,-0.2,33.0,1032.0,2.9599050761991177,,1714.0
2022-01-02 10:45:00,2.0,5377.281198,90.0,0.1,31.0,1031.0,3.019030262169247,,1921.0
