DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
2021-11-01 00:00:00,6.0,44224.0,270.0,3.9,45.0,842.0,3.3,17959.0,13819.0
2021-11-01 00:15:00,5.8,43591.0,274.0,3.6,46.0,842.0,3.9,25930.0,20435.0
2021-11-01 00:30:00,5.7,42842.0,281.0,3.3,47.0,842.0,4.1,31287.0,25376.0
2021-11-01 00:45:00,5.5,42093.0,289.0,3.0,48.0,842.0,4.3,32626.0,25669.0
2021-11-01 01:00:00,5.4,41344.0,296.0,2.7,49.0,842.0,3.7,24645.0,24036.0
2021-11-01 01:15:00,5.3,39691.0,300.0,2.4,50.0,842.0,2.9,13230.0,17085.0
2021-11-01 01:30:00,5.2,37135.0,300.0,2.2,51.0,842.0,2.1,4200.0,4606.0
2021-11-01 01:45:00,5.1,34579.0,300.0,2.0,52.0,841.0,1.5,30.0,363.2059282512076
2021-11-01 02:00:00,5.0,32023.0,300.0,1.8,53.0,841.0,1.3,206.0,694.5414756481155
2021-11-01 02:15:00,4.9,29671.0,300.0,1.6,54.0,841.0,1.2,-223.0,211.63440860214945
2021-11-01 02:30:00,4.8,27522.0,300.0,1.4,55.0,841.0,4.140481675486439,-117.0,7942.272396134751
2021-11-01 02:45:00,4.7,25373.0,300.0,1.1,56.0,841.0,4.176905657754738,-98.0,7961.346067131039
2021-11-01 03:00:00,4.6,23224.0,300.0,0.9,57.0,841.0,0.8,-94.0,0.0
2021-11-01 03:15:00,4.6,21521.0,300.0,0.7,57.0,841.0,1.1,-94.0,687.4585541623161
2021-11-01 03:30:00,4.5,20266.0,300.0,0.5,58.0,841.0,1.2,-97.0,211.63440860214945
2021-11-01 03:45:00,4.5,19011.0,300.0,0.4,58.0,841.0,1.7,-110.0,1947.3380527509971
2021-11-01 04:00:00,4.4,17756.0,300.0,0.2,59.0,841.0,2.1,-117.0,0.0
2021-11-01 04:15:00,4.4,16870.0,300.0,0.1,59.0,841.0,2.8,408.0,0.0
2021-11-01 04:30:00,4.3,16354.0,300.0,0.0,60.0,841.0,2.9,10650.0,2764.0
2021-11-01 04:45:00,4.3,15838.0,300.0,-0.1,61.0,841.0,2.6,9179.0,8878.0
2021-11-01 05:00:00,4.2,15322.0,300.0,-0.2,62.0,841.0,2.5,8995.0,7873.0
2021-11-01 05:15:00,4.2,14611.0,300.0,-0.3,62.0,841.0,2.2,3118.0,4941.0
2021-11-01 05:30:00,4.1,13706.0,300.0,-0.4,63.0,841.0,2.9226097542251543,308.0,8368.920299999016
2021-11-01 05:45:00,4.1,12801.0,300.0,-0.5,64.0,841.0,2.363117566847255,-54.0,8005.516673648752
2021-11-01 06:00:00,4.0,11896.0,300.0,-0.6,65.0,841.0,4.201827329833044,-85.0,7974.396473602181
2021-11-01 06:15:00,4.0,10907.0,300.0,-0.7,66.0,841.0,4.213329640023023,-79.0,7980.419738127319
2021-11-01 06:30:00,4.0,9835.0,300.0,-0.8,67.0,841.0,2.5,112.0,6648.677813251543
2021-11-01 06:45:00,4.0,8762.0,300.0,-1.0,68.0,841.0,2.4,819.0,4621.3236151603405
2021-11-01 07:00:00,4.0,7690.0,300.0,-1.1,69.0,841.0,2.2,1062.0,2658.8947368421054
2021-11-01 07:15:00,4.0,6719.0,300.0,-1.3,70.0,841.0,2.4,1275.0,4621.3236151603405
2021-11-01 07:30:00,4.0,5850.0,300.0,-1.5,71.0,841.0,3.7865769717506925,867.0,8930.087778258123
2021-11-01 07:45:00,4.0,4981.0,300.0,-1.8,73.0,841.0,3.5006486439470597,682.0,8744.370455399556
2021-11-01 08:00:00,4.0,4112.0,300.0,-2.0,74.0,841.0,2.997529296782038,1213.0,9277.429365874668
2021-11-01 08:15:00,4.0,3638.0,300.0,-1.9,74.0,841.0,3.0341722499017214,1253.0,9317.584462708954
2021-11-01 08:30:00,4.0,3559.0,300.0,-1.6,73.0,841.0,3.8283070520247264,894.0,8957.192468621259
2021-11-01 08:45:00,4.0,3480.0,300.0,-1.3,72.0,842.0,3.4666463563163683,660.0,8722.285152140706
2021-11-01 09:00:00,4.0,3401.0,300.0,-1.0,71.0,842.0,2.6,1134.0,5978.21327014218
2021-11-01 09:15:00,4.0,3955.0,296.0,-0.5,69.0,842.0,2.7,2044.0,8638.498181300041
2021-11-01 09:30:00,4.0,5144.0,289.0,0.2,66.0,842.0,2.6,1634.0,5978.21327014218
2021-11-01 09:45:00,4.1,6332.0,281.0,0.9,63.0,842.0,2.4,1477.0,4621.3236151603405
2021-11-01 10:00:00,4.1,7521.0,274.0,1.6,60.0,842.0,2.3,1061.0,4125.522210881045
2021-11-01 10:15:00,4.1,9061.0,270.0,2.3,57.0,842.0,2.2,1174.0,2658.8947368421054
2021-11-01 10:30:00,4.2,10953.0,270.0,2.9,55.0,842.0,2.0,651.0,1732.1666666666667
2021-11-01 10:45:00,4.2,12846.0,270.0,3.5,52.0,842.0,2.947338690683843,324.0,8384.982338732727
2021-11-01 11:00:00,4.3,14738.0,270.0,4.1,50.0,842.0,2.676865948166907,149.0,8209.30379008274
2021-11-01 11:15:00,4.4,18476.0,270.0,4.6,48.0,842.0,2.2,467.0,2658.8947368421054
2021-11-01 11:30:00,4.7,24060.0,270.0,5.0,47.0,842.0,2.9,1743.0,10938.994833757664
2021-11-01 11:45:00,4.9,29645.0,270.0,5.4,46.0,842.0,3.8,15812.0,22177.58144796378
2021-11-01 12:00:00,5.2,35229.0,270.0,5.8,45.0,842.0,4.2,30735.0,21273.0
2021-11-01 12:15:00,5.4,40567.0,270.0,6.1,44.0,842.0,4.0,14183.0,26884.0
2021-11-01 12:30:00,5.7,45660.0,270.0,6.4,43.0,842.0,4.5,14063.0,38885.28092654606
2021-11-01 12:45:00,5.9,50752.0,270.0,6.7,42.0,842.0,5.1,13458.0,53644.04753052355
2021-11-01 13:00:00,6.2,55845.0,270.0,7.0,41.0,842.0,5.8,15990.0,67933.19402985074
2021-11-01 13:15:00,6.4,61238.0,270.0,7.2,40.0,842.0,6.3,18112.0,91285.09343513787
2021-11-01 13:30:00,6.6,66931.0,270.0,7.5,39.0,842.0,6.6,17928.0,94441.27137546468
2021-11-01 13:45:00,6.9,72625.0,270.0,7.8,38.0,842.0,6.9,19200.0,110075.14318064
2021-11-01 14:00:00,7.1,78318.0,270.0,8.1,37.0,842.0,6.8,38579.0,97933.75939849624
2021-11-01 14:15:00,7.2,84153.0,270.0,8.3,36.0,842.0,6.948957423318568,109167.0,76380.0
2021-11-01 14:30:00,7.3,90129.0,270.0,8.4,35.0,842.0,8.865181622522288,108783.0,108875.0
2021-11-01 14:45:00,7.4,96105.0,270.0,8.5,35.0,841.0,7.3,116947.0,113984.0
2021-11-01 15:00:00,7.5,102081.0,270.0,8.6,34.0,841.0,7.7,121561.0,104771.0
2021-11-01 15:15:00,7.5,105941.0,270.0,8.7,34.0,841.0,8.1,121548.0,121270.0
2021-11-01 15:30:00,7.6,107685.0,270.0,8.7,34.0,841.0,8.2,130142.0,111053.0
2021-11-01 15:45:00,7.7,109429.0,270.0,8.8,33.0,841.0,8.3,131036.0,126044.0
